building_id,arm,n_origins,nmae,nrmse,mape
Bear_assembly_Jose,first_15,28,0.15608846961219583,0.19179507105082919,16.689411662173928
Bear_education_Maryjane,first_15,28,0.19778588803998814,0.24698617479798982,19.85556940038537
Bear_public_Orville,first_15,28,0.2852706260410456,0.4443793563673388,35.736895675523414
Bobcat_education_Toni,first_15,28,0.17400852202318487,0.22544967855919076,33.87949820087193
Bobcat_education_Whitney,first_15,28,0.44638303950553454,0.5308146473936095,84.29476118259677
Bobcat_office_Melody,first_15,28,0.10478001378765364,0.13816723518804483,10.262332849935481
Bull_education_Brandi,first_15,28,0.24323068427890088,0.3616037249207003,281.97628989267207
Bull_education_Patrina,first_15,28,0.2712439584446983,0.3512788931044038,249.93845205262897
Bull_lodging_Carie,first_15,28,0.18103073326118196,0.24223633049252075,200.1664528253615
Bull_office_Trevor,first_15,28,0.3437764691074477,1.048342525913821,215.88233941251013
Cockatoo_assembly_Fernanda,first_15,28,0.180213215260774,0.23060118305544483,21.818144015760137
Cockatoo_education_Christi,first_15,28,3.2511210573080978,6.034552738547734,325.11210573080996
Cockatoo_education_Collin,first_15,28,0.0670460888450171,0.08807216394299637,6.750329540890496
Cockatoo_office_Paige,first_15,28,0.13345606172665633,0.17746599253500686,13.289565381866058
Crow_education_Marlin,first_15,28,0.0394019045189582,0.08115059099446903,3.9401904518958197
Eagle_education_Shanna,first_15,28,0.15321715929929278,0.18891724962886322,15.940814179757258
Eagle_public_Minnie,first_15,28,0.09755352661041476,0.12363361278195541,10.040410043603073
Fox_education_Kim,first_15,28,0.22325408562443833,0.30363030231077137,52.20633104148264
Fox_lodging_Wallace,first_15,28,0.14271876335588832,0.19801915205236015,15.480756512275375
Fox_office_Berniece,first_15,28,0.2798609917130332,0.3713075851598545,30.22995758698296
Fox_public_Denny,first_15,28,0.08456915409552686,0.11000835060289632,8.913774237105153
Gator_office_August,first_15,28,0.35339747210932504,0.46712187519609794,477.3251382919033
Gator_public_Nettie,first_15,28,0.25396656407796525,0.36180423573360426,51.33154601763359
Gator_warehouse_Stacie,first_15,28,0.22960078211866394,0.31925893874486766,52.03080599769181
Hog_assembly_Pedro,first_15,28,0.2595650818839834,0.3369724118150548,27.384884546716602
Hog_education_George,first_15,28,0.05220008860607758,0.06657902794751483,5.2289198612666805
Hog_lodging_Mauricio,first_15,28,0.11701234394167373,0.17329002091024567,13.987368399975194
Hog_office_Randi,first_15,28,0.12210642565711488,0.19969306963337438,13.263829992847779
Hog_parking_Bernardo,first_15,28,0.11865746333603107,0.16066948756821703,11.615324577212057
Hog_public_Gerard,first_15,28,0.07855699044906096,0.10746258534048361,8.809202054214415
Lamb_education_Mae,first_15,28,0.4140586900572039,0.5369537605647348,57.60677947126034
Lamb_education_Mckenzie,first_15,28,0.33240684385654307,0.4631822833944833,38.153923901246564
Lamb_industrial_Willard,first_15,28,24.238598415550467,24.71119324689281,2423.859841555047
Lamb_lodging_Burt,first_15,28,0.5658135785237352,0.6625836471537766,94.88067849327618
Lamb_office_Jo,first_15,28,12.557924030465074,13.003068031363128,1255.7924030465074
Moose_education_Leland,first_15,28,0.07042387239069732,0.096696238327619,7.236818923159616
Moose_education_Ricardo,first_15,28,0.06038410088641358,0.07681769055629764,6.100221005689358
Mouse_health_Modesto,first_15,28,,,25587837444.61834
Panther_education_Edna,first_15,28,0.19912767407386528,0.25615889239739514,20.533045002409775
Panther_education_Teofila,first_15,28,0.1996944142847234,0.2962877679981777,25.59319637568691
Panther_office_Larry,first_15,28,0.2819094115347682,0.3622932845490881,33.09923199245641
Peacock_education_Pasquale,first_15,28,0.04091803524636651,0.051691462849852494,4.1584032960091815
Peacock_lodging_James,first_15,28,0.16550121727639278,0.2124071873800397,17.65954296325067
Peacock_office_Effie,first_15,28,0.22494399899523007,0.27932464682067365,26.05156278518533
Rat_assembly_Ezequiel,first_15,28,0.2863741479175544,0.36013163971872303,30.558155427318507
Rat_education_Kelsey,first_15,28,0.12510438563202023,0.15759022945242943,12.305466648896997
Rat_education_Robyn,first_15,28,0.12730072896438158,0.1804790541873126,13.385296875595781
Rat_other_Lan,first_15,28,0.1346317972629285,0.15918731624762525,29.83981987362185
Robin_assembly_Colleen,first_15,28,0.2767853230204239,0.3485213000976819,36.76514920591828
Robin_education_Della,first_15,28,0.43350189593433713,0.5254502010586731,151.45529444201074
Robin_public_Cami,first_15,28,0.2877305305668229,0.3628419927183371,37.6605459171175
Swan_unknown_Esteban,first_15,28,0.1299949545634471,0.15992460626280278,14.660460380815623
Wolf_education_Roderick,first_15,28,0.500500586619748,0.6293424240682741,157.50724444836007
Wolf_office_Elisabeth,first_15,28,0.06607261216000974,0.08268015297433212,6.733638649552106
Wolf_office_Nadia,first_15,28,0.19035325638250772,0.2608916650078522,19.762459270196818
Wolf_public_Norma,first_15,28,0.5462985656472926,0.7000887099485633,84.80413373397569
Wolf_retail_Toshia,first_15,28,0.6402939150305684,0.8994134401598358,133.15381910045127
Bear_assembly_Jose,full,28,0.07192040224551069,0.09171428926489966,7.32503685569595
Bear_education_Maryjane,full,28,0.11043180277895268,0.15108281817716507,10.72625490722293
Bear_public_Orville,full,28,0.1997575478033824,0.3275818226422182,24.756356944173515
Bobcat_education_Toni,full,28,0.1118039063139395,0.18045138953582424,23.589415991640323
Bobcat_education_Whitney,full,28,0.14512217476349323,0.24391242872421506,22.01590977320182
Bobcat_office_Melody,full,28,0.0768533233296926,0.11109718770027774,7.389731121184124
Bull_education_Brandi,full,28,0.24747392011091796,0.3623266708065775,280.5639504855637
