building_id,model,n_origins,nmae,nrmse,mape,ncrps
Bear_assembly_Angel,chronos_bolt_small,28,0.1394163024969093,0.2149177773145262,13.953132542471105,0.1156910280764158
Bear_assembly_Beatrice,chronos_bolt_small,28,0.1716546616926249,0.2445108648517637,33.92132534371479,0.157841476438573
Bear_assembly_Danial,chronos_bolt_small,28,0.0624633391385704,0.0821354698579944,6.335322538963191,0.0486446308913659
Bear_assembly_Genia,chronos_bolt_small,28,0.1353073712662281,0.2220648306732338,13.090473281462948,0.10250683827299
Bear_assembly_Harry,chronos_bolt_small,28,0.248133010023456,0.4172158493803865,21.605646797751422,0.1812542886405747
Bear_assembly_Jose,chronos_bolt_small,28,0.0844732161328691,0.1225722777824818,8.38583263044568,0.0672018135519797
Bear_assembly_Roxy,chronos_bolt_small,28,0.3010360810370633,0.5453424356606723,28.789888795378666,0.2287861627962409
Bear_assembly_Ruby,chronos_bolt_small,28,0.0455039450337521,0.0623857603242841,4.431599275694053,0.0348289862915252
Bear_education_Alvaro,chronos_bolt_small,28,0.0428355621989737,0.0639991436950757,4.240105034959702,0.0328864751512958
Bear_education_Augusta,chronos_bolt_small,28,0.0567064179716542,0.1208902188427717,5.963979501760275,0.049774712454647
Bear_education_Austin,chronos_bolt_small,28,0.11002939156877,0.2370256620418625,10.352296048333692,0.0813179776414275
Bear_education_Babara,chronos_bolt_small,28,0.0540077043330561,0.0812127309348332,5.103283072942602,0.041358177866666
Bear_education_Benita,chronos_bolt_small,28,0.0292047671223282,0.0408580951404149,2.877617640990032,0.0231664026350889
Bear_education_Bob,chronos_bolt_small,28,0.0399549416200725,0.0515388338836343,4.2374547426688896,0.0327005766953874
Bear_education_Bulah,chronos_bolt_small,28,0.0465383203730481,0.0643504925290509,4.516124412670424,0.0353925319555047
Bear_education_Carlo,chronos_bolt_small,28,0.1661091735773142,0.2755316734668147,15.774239792231455,0.1236758310456953
Bear_education_Chad,chronos_bolt_small,28,0.0381792255212796,0.053366756936682,3.86765200865694,0.0303590788599031
Bear_education_Chana,chronos_bolt_small,28,0.0678802330097351,0.0994867861356048,6.477304177818432,0.0536121767064312
Bear_education_Chun,chronos_bolt_small,28,0.120013791334563,0.155060209682776,13.251129418736616,0.0966518648691558
