building_id,model,n_origins,nmae,nrmse,mape,ncrps
Bear_assembly_Angel,chronos_bolt_small,28,0.119128864299544,0.1786238084067406,11.28242466117862,0.09504464895055
Bear_assembly_Beatrice,chronos_bolt_small,28,0.2989102627787091,0.4704760482678926,68.31898622965106,0.4070737315585319
Bear_assembly_Danial,chronos_bolt_small,28,0.0525799719694752,0.0716767840704091,5.267897456545371,0.04201508385211
Bear_assembly_Genia,chronos_bolt_small,28,0.1172030586731601,0.2170220065430909,10.123775621087546,0.0915693453438541
Bear_assembly_Harry,chronos_bolt_small,28,0.1765668643988772,0.2716630980520195,17.351752860210645,0.1391788085498718
Bear_assembly_Jose,chronos_bolt_small,28,0.0502816406825648,0.0647295237651082,5.05577304597099,0.0388270713286025
Bear_assembly_Roxy,chronos_bolt_small,28,0.0525564644199694,0.1182199044382678,26.288115136240336,0.0488318593213169
Bear_assembly_Ruby,chronos_bolt_small,28,0.0346074126464896,0.0507987061494142,3.3480867760531217,0.0266195054835579
Bear_education_Alvaro,chronos_bolt_small,28,0.0446304125762204,0.0599141540690428,4.396374172799406,0.0349012882071444
Bear_education_Augusta,chronos_bolt_small,28,0.0597835235197994,0.1445929055161554,6.892326897961946,0.057565570248234
Bear_education_Austin,chronos_bolt_small,28,0.1301154153177988,0.289867250503697,17.20630600317262,0.1297406536734106
Bear_education_Babara,chronos_bolt_small,28,0.0249888836603649,0.0352480052032793,2.4555578895686905,0.0187311137022444
Bear_education_Benita,chronos_bolt_small,28,0.0144337304807679,0.0212690240981535,1.42252785561463,0.0113048101503151
Bear_education_Bob,chronos_bolt_small,28,0.057288248027671,0.089192491191948,6.112837692560028,0.0481835034477417
Bear_education_Bulah,chronos_bolt_small,28,0.0261449939071525,0.0354634506870247,2.570452712773557,0.0201809621653653
Bear_education_Carlo,chronos_bolt_small,28,0.1671621983703505,0.324827311307551,21.751476058885142,0.1755793139206528
Bear_education_Chad,chronos_bolt_small,28,0.0246943985188106,0.0353959235569076,2.5099232303890857,0.0196886752817927
Bear_education_Chana,chronos_bolt_small,28,0.0483826290246034,0.0779961359215314,4.58394539200657,0.0374794302327863
Bear_education_Chun,chronos_bolt_small,28,0.1019170465434229,0.1549831185819759,9.839400956535206,0.0757976624878214
Bear_education_Clint,chronos_bolt_small,28,0.0474845607221829,0.0680785069293491,4.538628912757484,0.0367522004554036
Bear_education_Curtis,chronos_bolt_small,28,0.0317467249240355,0.0517041188884157,3.097730715431247,0.0264075490961802
Bear_education_Danna,chronos_bolt_small,28,0.0779156717509351,0.1335622223571471,8.327278579612782,0.0658482282199886
Bear_education_Darrell,chronos_bolt_small,28,0.1130002825178054,0.2512532127903351,12.12011396386515,0.1068016833639649
Bear_education_Deena,chronos_bolt_small,28,0.1069566189154446,0.1569050063066328,10.860415231471809,0.0867718423899965
Bear_education_Derek,chronos_bolt_small,28,0.0812665953976709,0.2159499556392969,270.9804614831345,1.5682680317536282
Bear_education_Destiny,chronos_bolt_small,28,0.1007624285741827,0.140195542697701,10.07732240409102,0.0815724002416683
Bear_education_Elise,chronos_bolt_small,28,0.155334720257399,0.2311995808152133,16.287002486397718,0.1304080767627928
Bear_education_Fannie,chronos_bolt_small,28,0.0217587779361081,0.0341436432173017,2.090868697499519,0.0167029139911922
Bear_education_Gavin,chronos_bolt_small,28,0.0314547261099933,0.0402233604843742,3.1388208214233453,0.0243601500698008
Bear_education_Herb,chronos_bolt_small,28,0.0969628562638822,0.1627446691952633,10.300339540824211,0.0824460239556337
Bear_education_Irene,chronos_bolt_small,28,0.0879847192642022,0.2720685827477553,6.078537737662382,0.0620420205535714
Bear_education_Iris,chronos_bolt_small,28,0.0968259503172931,0.1736371293733762,12.229803942356265,0.0971753301298589
